"","q","response","SE"
"1",0.04,6.06256993653622,0.378581759609053
"11",0.04,11.607250876246,1.36287256806559
"12",0.04,6.44942283778375,0.786678206515722
"13",0.04,8.29451815011199,0.577448433258423
"14",0.04,5.832577307039,0.842031182622223
"15",0.04,7.2609035732378,0.838544858654887
"16",0.04,6.73108459760933,0.917111875123218
"17",0.04,5.4356678608847,1.17317684059782
"18",0.04,6.86271748759579,1.06753465829014
"19",0.04,4.32871597935393,0.475500320702862
"110",0.04,14.5818254717082,1.38784551017156
"111",0.04,6.51508941313782,0.895291596880095
"112",0.04,7.21882744116699,0.850427947367933
"113",0.04,8.11649684357661,0.577512665551394
"114",0.04,5.83419440663092,1.11037104135566
"115",0.04,7.25241420311035,0.636568422598344
"116",0.04,9.12620820075673,0.692115519273031
"117",0.04,8.46801909847945,0.710561167373757
"118",0.04,5.41181133825398,0.625930244290244
"119",0.04,7.48716932714358,0.61340924899569
"120",0.04,6.89490318798401,0.741342513118274
"121",0.04,7.77454204133257,0.460400982869139
"122",0.04,9.81619117074001,0.853470226385534
"123",0.04,8.60402659298382,0.34712245694645
"124",0.04,8.90857138051562,0.52150350712042
"125",0.04,6.69472711914854,0.518284920376421
"126",0.04,6.61854922962542,0.590434044438113
"127",0.04,6.68182104552047,0.515917302637937
"128",0.04,14.2598889863377,1.3917295839876
"129",0.04,7.79779865916957,0.773381182332642
"130",0.04,8.83395513772452,0.701704559108569
"131",0.04,6.07986230726977,1.14077595006221
"132",0.04,9.68211037492601,0.389540228850246
"133",0.04,11.5124410147209,0.896160996651262
"134",0.04,8.56794204994248,0.583190253845943
"135",0.04,7.71311232835565,0.668336577066927
"136",0.04,7.69900103095357,0.674841871398716
"137",0.04,8.07099540086777,0.778396878252139
"138",0.04,7.36565099143703,0.587751086412282
"139",0.04,7.43851747699963,0.928830016817538
"140",0.04,6.01864442621289,0.630873906751762
"141",0.04,4.57996440794221,0.690660430638942
"142",0.04,7.82156855574294,0.539931332330345
"143",0.04,14.7516509504975,1.57277554331923
"144",0.04,9.17226895004108,0.495798158058755
"145",0.04,8.45200683097622,0.535956812547125
"146",0.04,6.2060830450886,0.387783093822664
"147",0.04,6.78383788772017,0.209854386889463
"148",0.04,7.62308637116963,0.397509179594705
"149",0.04,8.05637398149122,0.964416740604178
"150",0.04,6.49490140791763,0.464557753764198
"151",0.04,8.77020921735455,1.00987892080736
"152",0.04,7.00390665743028,0.646248132079079
"153",0.04,6.2399040920999,0.691560332204885
"154",0.04,1.72617690370988,1.07313694274716
"155",0.04,6.9160246096672,0.74794150929058
"156",0.04,5.72080487126918,0.493858867050887
"157",0.04,9.9888742220442,1.04427274076661
"158",0.04,2.48561374701295,1.23633216860186
"159",0.04,6.07524526924393,0.542875386121489
"160",0.04,9.9525251575972,0.831930771327982
"161",0.04,7.80540897639669,0.622997617419652
"162",0.04,8.19696468623144,0.567287294337571
"163",0.04,11.8005119617447,0.757691491796247
"164",0.04,6.68467683892334,1.55767409372409
"165",0.04,6.6909284687915,0.797974094073272
"166",0.04,6.23710941128216,0.482528846041355
"167",0.04,9.28992047059976,0.857557605818266
"168",0.04,6.99217130830512,0.66186535784318
"169",0.04,8.28044762918266,0.750355256500213
"170",0.04,7.86820938461518,0.49956443099231
"171",0.04,6.94216894873654,0.757288933752072
"172",0.04,1.5559769625447,0.837348642450712
"173",0.04,8.15769780646337,0.36392615323606
"174",0.04,7.24357402021298,2.29998065734544
"175",0.04,8.16406365856719,2.37731053252156
"176",0.04,5.96854044041473,0.766812779023386
"177",0.04,5.67585619429634,1.92566505988237
"178",0.04,8.62733165947265,1.44777122684257
