"","q","response","SE"
"1",0.04,9.54159781905314,0.108519207480259
"11",0.04,9.93766857724247,0.104483897496111
"12",0.04,9.60330595748594,0.123072057466212
"13",0.04,9.5774547207563,0.109976789700329
"14",0.04,9.46747613925407,0.120830065894613
"15",0.04,9.35667992791626,0.117402646904776
"16",0.04,9.55686224931322,0.104097343850032
"17",0.04,9.64654511550971,0.121098081102837
"18",0.04,9.59923051737576,0.125023017681258
"19",0.04,9.54772638644351,0.111776118077112
"110",0.04,9.8470556103456,0.116460690739247
"111",0.04,9.65654365343706,0.10502594180778
"112",0.04,9.81932586128548,0.1083916437397
"113",0.04,9.58981244460074,0.114385783982595
"114",0.04,9.27819880128314,0.1186217598479
"115",0.04,9.58364920112838,0.118651942329497
"116",0.04,9.42001050972772,0.1110812218404
"117",0.04,9.56963936198587,0.119268438862053
"118",0.04,9.46457138059785,0.114191736112222
"119",0.04,9.64077895359378,0.110628883348766
"120",0.04,9.78046406748659,0.121294847772469
"121",0.04,9.57940106940143,0.12129796928197
"122",0.04,9.45445064559633,0.118709337425805
"123",0.04,9.22209351382149,0.109458215965242
"124",0.04,9.52813706420334,0.117566017889526
"125",0.04,9.51445817399307,0.107997603490903
"126",0.04,9.49833983864247,0.116654788650099
"127",0.04,9.55805531439236,0.114723782855586
"128",0.04,9.64093226388391,0.120671129001405
"129",0.04,9.22248846912413,0.11593508824266
"130",0.04,9.76123475050943,0.115292685444134
"131",0.04,9.45733890800124,0.112868809391295
"132",0.04,9.42384129409736,0.125324991993217
"133",0.04,9.41835559828757,0.109584715159775
"134",0.04,9.49217898733412,0.11609162971515
"135",0.04,9.45327413430553,0.115755839976982
"136",0.04,9.63392826845682,0.115411300521828
"137",0.04,9.43301505144391,0.115379066169043
"138",0.04,9.46691556221851,0.12575189872167
"139",0.04,9.69897748213324,0.125335197514483
"140",0.04,9.10752009292635,0.119187283766623
"141",0.04,9.61330541178578,0.121905328517662
"142",0.04,9.6590212901778,0.127974951297251
"143",0.04,9.48200110917062,0.112789947286527
"144",0.04,9.30511765713607,0.120368804974166
"145",0.04,9.83807770075383,0.127728983339881
"146",0.04,9.41264059046184,0.112617860944697
